9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
10594;X45.4; Rua e estrada;Envenenamento [intoxicação] acidental por e exposição ao álcool - rua e estrada
10595;X45.5; Areas de comercio e de servicos;Envenenamento [intoxicação] acidental por e exposição ao álcool - áreas de comércio e de serviços
10596;X45.6; Areas industriais e em construcao;Envenenamento [intoxicação] acidental por e exposição ao álcool - áreas industriais e em construção
10597;X45.7; Fazenda;Envenenamento [intoxicação] acidental por e exposição ao álcool - fazenda
10598;X45.8; Outr locais espec;Envenenamento [intoxicação] acidental por e exposição ao álcool - outros locais especificados
10599;X45.9; Local NE;Envenenamento [intoxicação] acidental por e exposição ao álcool - local não especificado
10600;X46.0; Residencia;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - residência
10601;X46.1; Habitacao coletiva;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - habitação coletiva
10602;X46.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - escolas, outras instituições e áreas de administração pública
10603;X46.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - área para a prática de esportes e atletismo
10604;X46.4; Rua e estrada;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - rua e estrada
10605;X46.5; Areas de comercio e de servicos;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - áreas de comércio e de serviços
10606;X46.6; Areas industriais e em construcao;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - áreas industriais e em construção
10607;X46.7; Fazenda;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - fazenda
10608;X46.8; Outr locais espec;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - outros locais especificados
10609;X46.9; Local NE;Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - local não especificado
10610;X47.0; Residencia;Intoxicação acidental por e exposição a outros gases e vapores - residência
10611;X47.1; Habitacao coletiva;Intoxicação acidental por e exposição a outros gases e vapores - habitação coletiva
10612;X47.2; Escolas outr instit areas admin publica;Intoxicação acidental por e exposição a outros gases e vapores - escolas, outras instituições e áreas de administração pública
10613;X47.3; Area p/a pratica de esportes e atletismo;Intoxicação acidental por e exposição a outros gases e vapores - área para a prática de esportes e atletismo
10614;X47.4; Rua e estrada;Intoxicação acidental por e exposição a outros gases e vapores - rua e estrada
10615;X47.5; Areas de comercio e de servicos;Intoxicação acidental por e exposição a outros gases e vapores - áreas de comércio e de serviços
10616;X47.6; Areas industriais e em construcao;Intoxicação acidental por e exposição a outros gases e vapores - áreas industriais e em construção
10617;X47.7; Fazenda;Intoxicação acidental por e exposição a outros gases e vapores - fazenda
10618;X47.8; Outr locais espec;Intoxicação acidental por e exposição a outros gases e vapores - outros locais especificados
10619;X47.9; Local NE;Intoxicação acidental por e exposição a outros gases e vapores - local não especificado
10620;X48.0; Residencia;Envenenamento [intoxicação] acidental por e exposição a pesticidas - residência
10621;X48.1; Habitacao coletiva;Envenenamento [intoxicação] acidental por e exposição a pesticidas - habitação coletiva
10622;X48.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] acidental por e exposição a pesticidas - escolas, outras instituições e áreas de administração pública
10623;X48.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] acidental por e exposição a pesticidas - área para a prática de esportes e atletismo
10624;X48.4; Rua e estrada;Envenenamento [intoxicação] acidental por e exposição a pesticidas - rua e estrada
10625;X48.5; Areas de comercio e de servicos;Envenenamento [intoxicação] acidental por e exposição a pesticidas - áreas de comércio e de serviços
10626;X48.6; Areas industriais e em construcao;Envenenamento [intoxicação] acidental por e exposição a pesticidas - áreas industriais e em construção
10627;X48.7; Fazenda;Envenenamento [intoxicação] acidental por e exposição a pesticidas - fazenda
10628;X48.8; Outr locais espec;Envenenamento [intoxicação] acidental por e exposição a pesticidas - outros locais especificados
10629;X48.9; Local NE;Envenenamento [intoxicação] acidental por e exposição a pesticidas - local não especificado
10630;X49.0; Residencia;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - residência
10631;X49.1; Habitacao coletiva;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - habitação coletiva
10632;X49.2; Escolas outr instit areas admin publica;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - escolas, outras instituições e áreas de administração pública
10633;X49.3; Area p/a pratica de esportes e atletismo;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - área para a prática de esportes e atletismo
10634;X49.4; Rua e estrada;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - rua e estrada
10635;X49.5; Areas de comercio e de servicos;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - áreas de comércio e de serviços
10636;X49.6; Areas industriais e em construcao;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - áreas industriais e em construção
10637;X49.7; Fazenda;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - fazenda
10638;X49.8; Outr locais espec;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - outros locais especificados
10639;X49.9; Local NE;Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - local não especificado
10640;X50.0; Residencia;Excesso de exercícios e movimentos vigorosos ou repetitivos - residência
10641;X50.1; Habitacao coletiva;Excesso de exercícios e movimentos vigorosos ou repetitivos - habitação coletiva
10642;X50.2; Escolas outr instit areas admin publica;Excesso de exercícios e movimentos vigorosos ou repetitivos - escolas, outras instituições e áreas de administração pública
10643;X50.3; Area p/a pratica de esportes e atletismo;Excesso de exercícios e movimentos vigorosos ou repetitivos - área para a prática de esportes e atletismo
10644;X50.4; Rua e estrada;Excesso de exercícios e movimentos vigorosos ou repetitivos - rua e estrada
10645;X50.5; Areas de comercio e de servicos;Excesso de exercícios e movimentos vigorosos ou repetitivos - áreas de comércio e de serviços
10646;X50.6; Areas industriais e em construcao;Excesso de exercícios e movimentos vigorosos ou repetitivos - áreas industriais e em construção
10647;X50.7; Fazenda;Excesso de exercícios e movimentos vigorosos ou repetitivos - fazenda
10648;X50.8; Outr locais espec;Excesso de exercícios e movimentos vigorosos ou repetitivos - outros locais especificados
10649;X50.9; Local NE;Excesso de exercícios e movimentos vigorosos ou repetitivos - local não especificado
10650;X51.0; Residencia;Viagem e movimento - residência
10651;X51.1; Habitacao coletiva;Viagem e movimento - habitação coletiva
10652;X51.2; Escolas outr instit areas admin publica;Viagem e movimento - escolas, outras instituições e áreas de administração pública
10653;X51.3; Area p/a pratica de esportes e atletismo;Viagem e movimento - área para a prática de esportes e atletismo
10654;X51.4; Rua e estrada;Viagem e movimento - rua e estrada
10655;X51.5; Areas de comercio e de servicos;Viagem e movimento - áreas de comércio e de serviços
10656;X51.6; Areas industriais e em construcao;Viagem e movimento - áreas industriais e em construção
10657;X51.7; Fazenda;Viagem e movimento - fazenda
10658;X51.8; Outr locais espec;Viagem e movimento - outros locais especificados
10659;X51.9; Local NE;Viagem e movimento - local não especificado
10660;X52.0; Residencia;Estadia prolongada em ambiente agravitacional - residência
10661;X52.1; Habitacao coletiva;Estadia prolongada em ambiente agravitacional - habitação coletiva
10662;X52.2; Escolas outr instit areas admin publica;Estadia prolongada em ambiente agravitacional - escolas, outras instituições e áreas de administração pública
10663;X52.3; Area p/a pratica de esportes e atletismo;Estadia prolongada em ambiente agravitacional - área para a prática de esportes e atletismo
10664;X52.4; Rua e estrada;Estadia prolongada em ambiente agravitacional - rua e estrada
10665;X52.5; Areas de comercio e de servicos;Estadia prolongada em ambiente agravitacional - áreas de comércio e de serviços
10666;X52.6; Areas industriais e em construcao;Estadia prolongada em ambiente agravitacional - áreas industriais e em construção
10667;X52.7; Fazenda;Estadia prolongada em ambiente agravitacional - fazenda
10668;X52.8; Outr locais espec;Estadia prolongada em ambiente agravitacional - outros locais especificados
10669;X52.9; Local NE;Estadia prolongada em ambiente agravitacional - local não especificado
10670;X53.0; Residencia;Falta de alimento - residência
10671;X53.1; Habitacao coletiva;Falta de alimento - habitação coletiva
10672;X53.2; Escolas outr instit areas admin publica;Falta de alimento - escolas, outras instituições e áreas de administração pública
10673;X53.3; Area p/a pratica de esportes e atletismo;Falta de alimento - área para a prática de esportes e atletismo
10674;X53.4; Rua e estrada;Falta de alimento - rua e estrada
10675;X53.5; Areas de comercio e de servicos;Falta de alimento - áreas de comércio e de serviços
10676;X53.6; Areas industriais e em construcao;Falta de alimento - áreas industriais e em construção
10677;X53.7; Fazenda;Falta de alimento - fazenda
10678;X53.8; Outr locais espec;Falta de alimento - outros locais especificados
10679;X53.9; Local NE;Falta de alimento - local não especificado
10680;X54.0; Residencia;Falta de água - residência
10681;X54.1; Habitacao coletiva;Falta de água - habitação coletiva
10682;X54.2; Escolas outr instit areas admin publica;Falta de água - escolas, outras instituições e áreas de administração pública
10683;X54.3; Area p/a pratica de esportes e atletismo;Falta de água - área para a prática de esportes e atletismo
10684;X54.4; Rua e estrada;Falta de água - rua e estrada
10685;X54.5; Areas de comercio e de servicos;Falta de água - áreas de comércio e de serviços
10686;X54.6; Areas industriais e em construcao;Falta de água - áreas industriais e em construção
10687;X54.7; Fazenda;Falta de água - fazenda
10688;X54.8; Outr locais espec;Falta de água - outros locais especificados
10689;X54.9; Local NE;Falta de água - local não especificado
10690;X57.0; Residencia;Privação não especificada - residência
10691;X57.1; Habitacao coletiva;Privação não especificada - habitação coletiva
10692;X57.2; Escolas outr instit areas admin publica;Privação não especificada - escolas, outras instituições e áreas de administração pública
10693;X57.3; Area p/a pratica de esportes e atletismo;Privação não especificada - área para a prática de esportes e atletismo
10694;X57.4; Rua e estrada;Privação não especificada - rua e estrada
10695;X57.5; Areas de comercio e de servicos;Privação não especificada - áreas de comércio e de serviços
10696;X57.6; Areas industriais e em construcao;Privação não especificada - áreas industriais e em construção
10697;X57.7; Fazenda;Privação não especificada - fazenda
10698;X57.8; Outr locais espec;Privação não especificada - outros locais especificados
10699;X57.9; Local NE;Privação não especificada - local não especificado
10700;X58.0; Residencia;Exposição a outros fatores especificados - residência
10701;X58.1; Habitacao coletiva;Exposição a outros fatores especificados - habitação coletiva
10702;X58.2; Escolas outr instit areas admin publica;Exposição a outros fatores especificados - escolas, outras instituições e áreas de administração pública
10703;X58.3; Area p/a pratica de esportes e atletismo;Exposição a outros fatores especificados - área para a prática de esportes e atletismo
10704;X58.4; Rua e estrada;Exposição a outros fatores especificados - rua e estrada
10705;X58.5; Areas de comercio e de servicos;Exposição a outros fatores especificados - áreas de comércio e de serviços
10706;X58.6; Areas industriais e em construcao;Exposição a outros fatores especificados - áreas industriais e em construção
10707;X58.7; Fazenda;Exposição a outros fatores especificados - fazenda
10708;X58.8; Outr locais espec;Exposição a outros fatores especificados - outros locais especificados
10709;X58.9; Local NE;Exposição a outros fatores especificados - local não especificado
10710;X59.0; Exposição a fator não espec causando fratura;Exposição a fator não especificado causando fratura
10711;X59.9; Exp fat n esp caus out traum e traum n espec;Exposição a fator não especificado causando outro tr|aumatismo e traumatismo não especificado
10712;X60.0; Residencia;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - residência
10713;X60.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - habitação coletiva
10714;X60.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - escolas, outras instituições e áreas de administração pública
10715;X60.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - área para a prática de esportes e atletismo
10716;X60.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - rua e estrada
10717;X60.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas de comércio e de serviços
10718;X60.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas industriais e em construção
10719;X60.7; Fazenda;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - fazenda
10720;X60.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - outros locais especificados
10721;X60.9; Local NE;Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - local não especificado
10722;X61.0; Residencia;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - residência
10723;X61.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - habitação coletiva
10724;X61.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - escolas, outras instituições e áreas de administração pública
10725;X61.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - área para a prática de esportes e atletismo
10726;X61.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - rua e estrada
10727;X61.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - áreas de comércio e de serviços
10728;X61.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - áreas industriais e em construção
10729;X61.7; Fazenda;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - fazenda
10730;X61.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - outros locais especificados
10731;X61.9; Local NE;Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - local não especificado
10732;X62.0; Residencia;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - residência
10733;X62.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - habitação coletiva
10734;X62.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - escolas, outras instituições e áreas de administração pública
10735;X62.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - área para a prática de esportes e atletismo
10736;X62.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - rua e estrada
10737;X62.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas de comércio e de serviços
10738;X62.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas industriais e em construção
10739;X62.7; Fazenda;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - fazenda
10740;X62.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - outros locais especificados
10741;X62.9; Local NE;Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - local não especificado
10742;X63.0; Residencia;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - residência
10743;X63.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - habitação coletiva
10744;X63.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - escolas, outras instituições e áreas de administração pública
10745;X63.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - área para a prática de esportes e atletismo
10746;X63.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - rua e estrada
10747;X63.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - áreas de comércio e de serviços
10748;X63.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - áreas industriais e em construção
10749;X63.7; Fazenda;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - fazenda
10750;X63.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - outros locais especificados
10751;X63.9; Local NE;Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - local não especificado
10752;X64.0; Residencia;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - residência
10753;X64.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - habitação coletiva
10754;X64.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - escolas, outras instituições e áreas de administração pública
10755;X64.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - área para a prática de esportes e atletismo
10756;X64.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - rua e estrada
10757;X64.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - áreas de comércio e de serviços
10758;X64.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - áreas industriais e em construção
10759;X64.7; Fazenda;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - fazenda
10760;X64.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - outros locais especificados
10761;X64.9; Local NE;Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas - local não especificado
10762;X65.0; Residencia;Auto-intoxicação voluntária por álcool - residência
10763;X65.1; Habitacao coletiva;Auto-intoxicação voluntária por álcool - habitação coletiva
10764;X65.2; Escolas outr instit areas admin publica;Auto-intoxicação voluntária por álcool - escolas, outras instituições e áreas de administração pública
10765;X65.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação voluntária por álcool - área para a prática de esportes e atletismo
10766;X65.4; Rua e estrada;Auto-intoxicação voluntária por álcool - rua e estrada
10767;X65.5; Areas de comercio e de servicos;Auto-intoxicação voluntária por álcool - áreas de comércio e de serviços
10768;X65.6; Areas industriais e em construcao;Auto-intoxicação voluntária por álcool - áreas industriais e em construção
10769;X65.7; Fazenda;Auto-intoxicação voluntária por álcool - fazenda
10770;X65.8; Outr locais espec;Auto-intoxicação voluntária por álcool - outros locais especificados
10771;X65.9; Local NE;Auto-intoxicação voluntária por álcool - local não especificado
10772;X66.0; Residencia;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - residência
10773;X66.1; Habitacao coletiva;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - habitação coletiva
10774;X66.2; Escolas outr instit areas admin publica;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - escolas, outras instituições e áreas de administração pública
10775;X66.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - área para a prática de esportes e atletismo
10776;X66.4; Rua e estrada;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - rua e estrada
10777;X66.5; Areas de comercio e de servicos;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - áreas de comércio e de serviços
10778;X66.6; Areas industriais e em construcao;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - áreas industriais e em construção
10779;X66.7; Fazenda;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - fazenda
10780;X66.8; Outr locais espec;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - outros locais especificados
10781;X66.9; Local NE;Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores - local não especificado
10782;X67.0; Residencia;Auto-intoxicação intencional por outros gases e vapores - residência
10783;X67.1; Habitacao coletiva;Auto-intoxicação intencional por outros gases e vapores - habitação coletiva
10784;X67.2; Escolas outr instit areas admin publica;Auto-intoxicação intencional por outros gases e vapores - escolas, outras instituições e áreas de administração pública
10785;X67.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação intencional por outros gases e vapores - área para a prática de esportes e atletismo
10786;X67.4; Rua e estrada;Auto-intoxicação intencional por outros gases e vapores - rua e estrada
10787;X67.5; Areas de comercio e de servicos;Auto-intoxicação intencional por outros gases e vapores - áreas de comércio e de serviços
10788;X67.6; Areas industriais e em construcao;Auto-intoxicação intencional por outros gases e vapores - áreas industriais e em construção
10789;X67.7; Fazenda;Auto-intoxicação intencional por outros gases e vapores - fazenda
10790;X67.8; Outr locais espec;Auto-intoxicação intencional por outros gases e vapores - outros locais especificados
10791;X67.9; Local NE;Auto-intoxicação intencional por outros gases e vapores - local não especificado
10792;X68.0; Residencia;Auto-intoxicação por e exposição, intencional, a pesticidas - residência
10793;X68.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a pesticidas - habitação coletiva
10794;X68.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a pesticidas - escolas, outras instituições e áreas de administração pública
10795;X68.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a pesticidas - área para a prática de esportes e atletismo
10796;X68.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a pesticidas - rua e estrada
10797;X68.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a pesticidas - áreas de comércio e de serviços
10798;X68.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a pesticidas - áreas industriais e em construção
10799;X68.7; Fazenda;Auto-intoxicação por e exposição, intencional, a pesticidas - fazenda
10800;X68.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a pesticidas - outros locais especificados
10801;X68.9; Local NE;Auto-intoxicação por e exposição, intencional, a pesticidas - local não especificado
10802;X69.0; Residencia;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - residência
10803;X69.1; Habitacao coletiva;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - habitação coletiva
10804;X69.2; Escolas outr instit areas admin publica;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - escolas, outras instituições e áreas de administração pública
10805;X69.3; Area p/a pratica de esportes e atletismo;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - área para a prática de esportes e atletismo
10806;X69.4; Rua e estrada;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - rua e estrada
10807;X69.5; Areas de comercio e de servicos;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - áreas de comércio e de serviços
10808;X69.6; Areas industriais e em construcao;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - áreas industriais e em construção
10809;X69.7; Fazenda;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - fazenda
10810;X69.8; Outr locais espec;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - outros locais especificados
10811;X69.9; Local NE;Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas - local não especificado
10812;X70.0; Residencia;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - residência
10813;X70.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - habitação coletiva
10814;X70.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - escolas, outras instituições e áreas de administração pública
10815;X70.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - área para a prática de esportes e atletismo
10816;X70.4; Rua e estrada;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - rua e estrada
10817;X70.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - áreas de comércio e de serviços
10818;X70.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - áreas industriais e em construção
10819;X70.7; Fazenda;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - fazenda
10820;X70.8; Outr locais espec;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - outros locais especificados
10821;X70.9; Local NE;Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - local não especificado
10822;X71.0; Residencia;Lesão autoprovocada intencionalmente por afogamento e submersão - residência
10823;X71.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por afogamento e submersão - habitação coletiva
10824;X71.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por afogamento e submersão - escolas, outras instituições e áreas de administração pública
10825;X71.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por afogamento e submersão - área para a prática de esportes e atletismo
10826;X71.4; Rua e estrada;Lesão autoprovocada intencionalmente por afogamento e submersão - rua e estrada
10827;X71.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por afogamento e submersão - áreas de comércio e de serviços
10828;X71.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por afogamento e submersão - áreas industriais e em construção
10829;X71.7; Fazenda;Lesão autoprovocada intencionalmente por afogamento e submersão - fazenda
